name,url,cuisine,avgRating,priceRange,latitude,longitude,postalCode,streetAddress,addressLocality,addressRegion,addressString
Thai Delight,https://www.ubereats.com/gb/store/thai-delight/5jz70EaYRiupa1Vp_9HsWA,"['Asian', 'Thai', 'Noodles']",4.3,€€,51.41480390211173,-0.055239488635682156,SE20 8JB,"158 Maple Road, Penge",LONDON,EMEA,"{'@type': 'PostalAddress', 'addressLocality': 'LONDON', 'addressRegion': 'EMEA', 'postalCode': 'SE20 8JB', 'addressCountry': 'GB', 'streetAddress': '158 Maple Road, Penge'}"
S&S Taste of Korea (Maida Vale),https://www.ubereats.com/gb/store/s%26s-taste-of-korea-maida-vale/HL0aMHueVpq3UEYFSCw4Xg,"['Korean', 'Asian', 'Asian-owned', 'Chicken']",4.3,€€,51.52376,-0.19743,W9 2AH,5 Chippenham Road,London,England,"{'@type': 'PostalAddress', 'addressLocality': 'London', 'addressRegion': 'England', 'postalCode': 'W9 2AH', 'addressCountry': 'GB', 'streetAddress': '5 Chippenham Road'}"
Chapandaz Restaurant,https://www.ubereats.com/gb/store/chapandaz-restaurant/ovUl1qnAUlyWGgBnCUzYPQ,"['Halal', 'Afghan', 'Persian', 'Chicken']",3.8,€€€,51.53331,0.05522,E6 2JT,399 Barking Rd,East Ham,London,"{'@type': 'PostalAddress', 'addressLocality': 'East Ham', 'addressRegion': 'London', 'postalCode': 'E6 2JT', 'addressCountry': 'GB', 'streetAddress': '399 Barking Rd'}"
Caffe Nero (Haymarket),https://www.ubereats.com/gb/store/caffe-nero-haymarket/H0YHWgNgQ7y6mhwBLxUiBQ,"['Coffee & tea', 'Sandwich', 'Pastry', 'Breakfast and brunch', 'Cafe']",,€,51.5093847,-0.1325643,SW1Y 4,"Haymarket ,27 Haymarket",London,,"{'@type': 'PostalAddress', 'addressLocality': 'London', 'addressRegion': '', 'postalCode': 'SW1Y 4', 'addressCountry': 'GB', 'streetAddress': 'Haymarket ,27 Haymarket'}"
Sushi London,https://www.ubereats.com/gb/store/sushi-london/X6inFufPXZCZPxG0cdkFiQ,"['Japanese', 'Seafood', 'Sushi', 'Asian']",2.8,€€€,51.53333,-0.21828,NW10 3ND,59 Chamberlayne Road,London,London,"{'@type': 'PostalAddress', 'addressLocality': 'London', 'addressRegion': 'London', 'postalCode': 'NW10 3ND', 'addressCountry': 'GB', 'streetAddress': '59 Chamberlayne Road'}"
Jamuna Indian Takeaway,https://www.ubereats.com/gb/store/jamuna-indian-takeaway/f20llQ6BUeKu4bCYsxzCRA,"['Asian', 'Indian curry', 'Persian', 'Vegetarian friendly', 'Drinks', 'Chicken', 'Indian', 'Rice & Curry', 'Rice dishes', 'Vegetarian', 'Seafood']",,€,51.59951,0.0201,E18 2PB,249 High Road,London,EMEA,"{'@type': 'PostalAddress', 'addressLocality': 'London', 'addressRegion': 'EMEA', 'postalCode': 'E18 2PB', 'addressCountry': 'GB', 'streetAddress': '249 High Road'}"
Vegan at Hungry Beast,https://www.ubereats.com/gb/store/vegan-at-hungry-beast/P3CSqukgTY6hIS8NUg6VkA,"['Vegan', 'Vegetarian', 'Coffee & tea', 'Salads', 'Desserts', 'Vegan friendly', 'Vegetarian friendly', 'Comfort food', 'Allergy friendly', 'Spanish', 'Breakfast and brunch', 'Diner']",,€€,51.5301,-0.07791,,,,,
Mac Junkies,https://www.ubereats.com/gb/store/mac-junkies/ypx7EE-LWpulJdhdDfNwAQ,"['American', 'Macaroni cheese', 'Vegetarian', 'Vegan friendly']",4.6,,51.40869,-0.12066,SW16 4RW,"Unit 4-5
Norbury Trading Estate
Craignish Avenue",London,EMEA,"{'@type': 'PostalAddress', 'addressLocality': 'London', 'addressRegion': 'EMEA', 'postalCode': 'SW16 4RW', 'addressCountry': 'GB', 'streetAddress': 'Unit 4-5\r\nNorbury Trading Estate\r\nCraignish Avenue'}"
Tupi - Peckham,https://www.ubereats.com/gb/store/tupi-peckham/L3EQcjbGSomIli11hInYlA,"['Pure veg', 'Healthy', 'Vegan', 'Vegan friendly']",,€€,51.46678,-0.0660001,SE15 4,206 Rye Lane,London,,"{'@type': 'PostalAddress', 'addressLocality': 'London', 'addressRegion': '', 'postalCode': 'SE15 4', 'addressCountry': 'GB', 'streetAddress': '206 Rye Lane'}"
The Beach Hut,https://www.ubereats.com/gb/store/the-beach-hut/6lm8OYlfSNaSEam-LKeBXA,"['Seafood', 'Fish & chips', 'British', 'Vegetarian', 'Vegan friendly']",4.5,€€,51.554140813111474,-0.09814989684329992,N5 2AA,28A Highbury Park,LONDON,EMEA,"{'@type': 'PostalAddress', 'addressLocality': 'LONDON', 'addressRegion': 'EMEA', 'postalCode': 'N5 2AA', 'addressCountry': 'GB', 'streetAddress': '28A Highbury Park'}"
Floatin Buka,https://www.ubereats.com/gb/store/floatin-buka/YTxiVJGgUoWzsl5ThCxzpQ,"['Nigerian', 'African', 'West African', 'Chicken', 'Fish & Seafood', 'Rice & Curry']",4.6,€€,51.44369,-0.018,SE6 2JH,38 Sangley Rd,London,EMEA,"{'@type': 'PostalAddress', 'addressLocality': 'London', 'addressRegion': 'EMEA', 'postalCode': 'SE6 2JH', 'addressCountry': 'GB', 'streetAddress': '38 Sangley Rd'}"
Amorino Gelato (Soho),https://www.ubereats.com/gb/store/amorino-gelato-soho/W4UlHGcJQzqhxqmEzNjSRA,"['Ice cream & frozen yogurt', 'Desserts']",,€,51.5127178,-0.1320524,,,,,
Simply Indian,https://www.ubereats.com/gb/store/simply-indian/xzfndaezTmKiBi9mcV0H4g,['Indian'],3.5,€,51.5005654,-0.0915239,SE1 4LA,SE1 4LA,London,England,"{'@type': 'PostalAddress', 'addressLocality': 'London', 'addressRegion': 'England', 'postalCode': 'SE1 4LA', 'addressCountry': 'GB', 'streetAddress': 'SE1 4LA'}"
Gelateria 3Bis (Borough Market),https://www.ubereats.com/gb/store/gelateria-3bis-borough-market/2eOdKbzWQFiR8BCP966BFg,"['Ice Cream & Frozen Yogurt', 'Desserts', 'Italian']",,€,51.505463,-0.09163,SE1 9AB,"Borough Market, 4 Park Street",London,EMEA,"{'@type': 'PostalAddress', 'addressLocality': 'London', 'addressRegion': 'EMEA', 'postalCode': 'SE1 9AB', 'addressCountry': 'GB', 'streetAddress': 'Borough Market, 4 Park Street'}"
Durbar Tandoori Restaurant,https://www.ubereats.com/gb/store/durbar-tandoori-restaurant/ofEHgfZ1SOaRb4o3pyW88w,"['Indian', 'Vegetarian friendly', 'Comfort food', 'Indian curry', 'Halal']",4.4,€€,51.5148271,-0.1937204,W2 4AA,24 Hereford Rd,London,Greater London,"{'@type': 'PostalAddress', 'addressLocality': 'London', 'addressRegion': 'Greater London', 'postalCode': 'W2 4AA', 'addressCountry': 'GB', 'streetAddress': '24 Hereford Rd'}"
Fes Restaurant ,https://www.ubereats.com/gb/store/fes-restaurant/GUYM0tC1WRKJWeV7laZzbw,"['BBQ', 'Burgers', 'Turkish']",4.4,,51.48918,-0.0965,SE17 1JE,210 Walworth Road,London,EMEA,"{'@type': 'PostalAddress', 'addressLocality': 'London', 'addressRegion': 'EMEA', 'postalCode': 'SE17 1JE', 'addressCountry': 'GB', 'streetAddress': '210 Walworth Road'}"
My Wok Box-,https://www.ubereats.com/gb/store/my-wok-box/o8Vvcn_4VKyQdFRaI1-XGQ,"['Halal', 'Salads', 'Sandwiches', 'Malaysian', 'Asian']",4.2,,51.54706,-0.2049,NW2 3UH,"4 Exeter Parade, Exeter Road",London,England,"{'@type': 'PostalAddress', 'addressLocality': 'London', 'addressRegion': 'England', 'postalCode': 'NW2 3UH', 'addressCountry': 'GB', 'streetAddress': '4 Exeter Parade, Exeter Road'}"
PFC (Papadom Fried Chicken),https://www.ubereats.com/gb/store/pfc-papadom-fried-chicken/8y7-i6RsS-ud9vKm1on5mw,"['American', 'Fast food']",,€,51.4776939,-0.1015649,SE5,219 Camberwell New Rd,London,England,"{'@type': 'PostalAddress', 'addressLocality': 'London', 'addressRegion': 'England', 'postalCode': 'SE5', 'addressCountry': 'GB', 'streetAddress': '219 Camberwell New Rd'}"
Elena's Kebab Shop,https://www.ubereats.com/gb/store/elenas-kebab-shop/TJxzYZEDR7yIqgnm-WsQ-A,"['European', 'Modern European', 'Turkish', 'Middle Eastern', 'Lebanese', 'British', 'English', 'Traditional American']",4.6,,51.61795,-0.0511,N18 2,175 Montagu Road,London,EMEA,"{'@type': 'PostalAddress', 'addressLocality': 'London', 'addressRegion': 'EMEA', 'postalCode': 'N18 2', 'addressCountry': 'GB', 'streetAddress': '175 Montagu Road'}"
Uzbek Corner,https://www.ubereats.com/gb/store/uzbek-corner/kUITTjnFTrmXFYjd_D2Lyg,"['Soup', 'Vegetarian friendly', 'Coffee', 'Tea', 'Russian', 'Uzbek']",,,51.51113495067892,-0.18745958805084229,,,,,
Honeypot Restaurant & Bar,https://www.ubereats.com/gb/store/honeypot-restaurant-%26-bar/i1k3ityPXPeE8P_T9wu4gw,"['African', 'Chicken', 'Rice dishes']",4.2,,51.42487,-0.00468,BR1 4PP,442,Bromley,EMEA,"{'@type': 'PostalAddress', 'addressLocality': 'Bromley', 'addressRegion': 'EMEA', 'postalCode': 'BR1 4PP', 'addressCountry': 'GB', 'streetAddress': '442'}"
El Mariachi Restaurant,https://www.ubereats.com/gb/store/el-mariachi-restaurant/0_Isyl8hS32Nb1uq1TUYPA,"['Mexican', 'New Mexican', 'Spanish', 'Latin American']",4.8,€,51.1929097,0.2709899,TN9 1TN,22 Avebury Ave,TONBRIDGE,,"{'@type': 'PostalAddress', 'addressLocality': 'TONBRIDGE', 'addressRegion': '', 'postalCode': 'TN9 1TN', 'addressCountry': 'GB', 'streetAddress': '22 Avebury Ave'}"
Brazilian Prime,https://www.ubereats.com/gb/store/brazilian-prime/Lfic2ao4UoyFAEL2lULZgQ,['Brazilian'],,€,51.53699777633305,-0.24862961126389196,NW10 4LX,26 High Street,London,EMEA,"{'@type': 'PostalAddress', 'addressLocality': 'London', 'addressRegion': 'EMEA', 'postalCode': 'NW10 4LX', 'addressCountry': 'GB', 'streetAddress': '26 High Street'}"
Tandis Persian Restaurant,https://www.ubereats.com/gb/store/tandis-persian-restaurant/kxXnk4W4TKGSxCk3nRkpaw,"['Persian', 'Middle Eastern', 'Halal']",,€,51.54936,-0.18188,NW3 6ND,289 Finchley Road,London,England,"{'@type': 'PostalAddress', 'addressLocality': 'London', 'addressRegion': 'England', 'postalCode': 'NW3 6ND', 'addressCountry': 'GB', 'streetAddress': '289 Finchley Road'}"
Pelican State,https://www.ubereats.com/gb/store/pelican-state/BEr5e0yYQ8m25H8r8s4ilQ,"['Seafood', 'American', 'Southern']",3.3,,51.524817278201226,-0.12270674713965285,,,,,
Jerry’s Desserts,https://www.ubereats.com/gb/store/jerrys-desserts/RMRMZRJjXhmHzSD46d-Xng,"['European', 'Modern European', 'Sandwiches']",3.7,,51.39955536203365,-0.0746905423172426,SE25 6,26a High Street,London,EMEA,"{'@type': 'PostalAddress', 'addressLocality': 'London', 'addressRegion': 'EMEA', 'postalCode': 'SE25 6', 'addressCountry': 'GB', 'streetAddress': '26a High Street'}"
